,level_0,index,latitude,longitude,cluster_predicted
0,0,0,18.966234399999998,72.82341910000002,0
1,1,1,18.971766600000002,72.82660000000003,0
2,2,2,18.97563119840761,72.82953529948274,0
3,3,3,19.007606488853103,72.85458910596239,0
4,4,4,19.00187573734854,72.8549131627703,0
5,5,5,19.0034957,72.8205292,0
6,6,6,19.018588599999987,72.81882490000005,0
7,7,7,18.991418000000014,72.830998,0
8,8,8,19.010202778000068,72.82756944400006,0
9,9,9,19.0726016,72.9133536,4
10,10,10,19.074711699999998,72.9176813,4
11,11,11,19.0755087,72.8968572,4
12,12,12,19.165266493916175,72.93240774657114,1
13,13,13,19.14012549246693,72.93015575547555,1
14,14,14,19.12486163375296,72.91693322250231,1
15,15,15,19.12486105361848,72.9169122259238,1
16,16,16,19.13606380465565,72.93824274348354,1
17,17,17,19.1610323,72.9357215,1
18,18,18,19.139978550934263,72.93009298018791,1
19,19,19,19.171341773761558,72.95345676475453,1
20,20,20,19.257877399999998,72.85204499999998,3
21,21,21,19.059900000000027,72.88810277800006,4
22,22,22,19.0683073,72.84490140000003,2
23,23,23,19.0732146,72.84578580000002,2
24,24,24,19.10834929026186,72.85911518632898,2
25,25,25,19.10834929026186,72.85911518632898,2
26,26,26,19.1262049,72.84933240000001,2
27,27,27,19.132551499513248,72.85642788434377,2
28,28,28,19.192091100000003,72.86622320000001,3
29,29,29,19.178345899999997,72.81644860000002,3
30,30,30,19.1893374,72.81831340000001,3
31,31,31,19.18343078336639,72.81842621230511,3
32,32,32,19.20378407855691,72.83132614947365,3
33,33,33,19.0671855,72.83650829999998,2
34,34,34,19.068630556000077,72.87996388900007,4
35,35,35,19.062763889000053,72.87304722200007,4
