ward_name,population_census,area_sq_km_census,density_census,literacuy_rate_census,,population_wiki,area_sq_km_wiki,04.04.20,05.04.20,06.04.20,07.04.20,08.04.20,09.04.20,10.04.20,11.04.20,12.04.20,13.04.20,14.04.20
A,185014,11.4,16229,87.7,,210926,,7,8,6,6,6,8,9,12,26,27,39
B,127290,2.5,50916,88.2,,140480,2.47,2,4,5,5,6,13,14,20,26,29,46
C,166161,1.8,92312,91.1,,190670,1.78,7,7,7,7,9,9,10,10,11,11,13
D,346866,6.6,52555,91,,378610,6.63,31,34,43,47,53,61,66,94,97,107,130
E,393286,7.4,53147,87.7,,439390,7.4,19,44,48,59,64,69,104,111,120,125,135
F/N,529034,,,88.3,,430406,12.98,5,7,9,12,15,16,26,39,45,54,58
F/S,360972,21.2,41981,91.7,,417551,14,4,5,7,11,13,15,15,38,39,41,41
G/N,599039,,,88.2,,537032,9.07,4,9,9,8,12,17,31,48,77,83,97
G/S,377749,17.9,54569,89.8,,516552,10,58,68,78,133,184,199,243,246,280,308,360
H/E,557239,,,89.4,,478413,18.53,18,25,31,33,37,43,59,67,80,85,96
H/W,307581,21.1,40987,91.6,,322141,11.55,7,16,16,17,19,21,25,26,30,34,36
K/E,823885,,,91.6,,,,24,26,26,27,30,34,45,44,69,83,90
K/W,748688,47.5,33107,89.7,,691000,23.39,25,37,40,43,46,51,57,61,71,80,88
L,902225,13.5,66831,88.8,,892278,13.46,6,8,14,16,17,18,31,57,68,81,85
M/E,807720,,,83.4,,806433,32.5,17,16,18,23,24,26,48,70,82,86,95
M/W,411893,54.9,22215,88.9,,413727,19.37,17,21,20,18,20,21,26,40,30,55,62
N,622853,55.4,11243,90.6,,510708,39,14,16,14,14,15,17,20,25,25,36,38
P/N,941366,,,89.2,,559283,19.13,18,24,32,32,36,38,39,43,49,55,57
P/S,463507,64.3,21849,90.3,,364469,24.44,7,10,13,17,18,19,23,24,29,33,34
R/C,562162,,,92.9,,681377,50,4,7,8,13,15,19,21,21,23,26,26
R/N,431368,,,91.2,,,,4,6,7,8,9,10,12,13,12,13,13
R/S,691229,77.6,21711,90.4,,,,11,12,18,17,20,19,28,27,33,36,36
S,743783,,,91.4,,567597,64,11,12,14,16,20,22,33,37,48,52,67
T,341463,34.8,9812,93.2,,288158,45.41,10,11,7,7,7,7,8,9,8,9,11
